iter	Passed	Remaining
0	151	151058
1	156	77981
2	160	53173
3	162	40512
4	165	32876
5	169	28147
6	173	24551
7	175	21793
8	178	19613
9	180	17882
10	183	16475
11	185	15288
12	188	14294
13	189	13374
14	191	12604
15	193	11900
16	196	11368
17	198	10813
18	199	10308
19	201	9866
20	202	9451
21	203	9055
22	204	8703
23	206	8381
24	207	8080
25	208	7820
26	210	7587
27	212	7367
28	213	7147
29	214	6930
30	215	6730
31	216	6540
32	217	6370
33	218	6203
34	219	6047
35	220	5898
36	221	5758
37	222	5638
38	224	5524
39	225	5414
40	226	5297
41	227	5185
42	228	5080
43	229	4979
44	230	4884
45	231	4794
46	232	4708
47	233	4624
48	234	4543
49	234	4463
50	236	4393
51	237	4323
52	238	4269
53	239	4200
54	240	4135
55	241	4072
56	242	4011
57	243	3953
58	244	3898
59	245	3842
60	246	3787
61	246	3735
62	247	3685
63	248	3636
64	249	3590
65	252	3574
66	253	3529
67	254	3488
68	255	3449
69	256	3409
70	257	3372
71	258	3334
72	259	3297
73	260	3261
74	261	3223
75	262	3187
76	262	3151
77	263	3118
78	265	3093
79	266	3065
80	267	3036
81	268	3004
82	268	2970
83	269	2940
84	270	2912
85	271	2884
86	272	2857
87	273	2830
88	273	2803
89	274	2778
90	275	2754
91	276	2729
92	277	2709
93	279	2698
94	281	2677
95	282	2655
96	282	2632
97	283	2612
98	284	2590
99	285	2570
100	286	2550
101	287	2530
102	288	2512
103	289	2494
104	290	2478
105	291	2461
106	292	2444
107	294	2431
108	295	2415
109	296	2398
110	297	2380
111	298	2364
112	299	2348
113	300	2333
114	301	2318
115	302	2303
116	302	2286
117	304	2273
118	305	2258
119	305	2243
120	306	2228
121	307	2215
122	309	2204
123	310	2191
124	311	2177
125	311	2163
126	312	2148
127	313	2134
128	314	2120
129	315	2109
130	315	2096
131	316	2083
132	317	2071
133	318	2059
134	319	2047
135	320	2035
136	321	2027
137	323	2018
138	324	2006
139	325	1997
140	326	1986
141	326	1974
142	327	1963
143	328	1953
144	329	1943
145	330	1934
146	331	1924
147	332	1914
148	333	1905
149	334	1895
150	335	1885
151	337	1883
152	338	1875
153	339	1866
154	340	1857
155	341	1848
156	342	1838
157	343	1831
158	344	1823
159	345	1815
160	346	1804
161	347	1795
162	348	1787
163	348	1778
164	349	1769
165	350	1763
166	352	1756
167	353	1749
168	354	1741
169	355	1734
170	356	1726
171	357	1719
172	358	1712
173	359	1704
174	359	1696
175	360	1689
176	361	1682
177	362	1675
178	363	1669
179	366	1668
180	367	1661
181	368	1654
182	369	1647
183	370	1641
184	371	1636
185	372	1629
186	373	1623
187	374	1616
188	375	1609
189	376	1603
190	377	1597
191	378	1590
192	379	1586
193	380	1582
194	381	1576
195	382	1570
196	383	1565
197	384	1558
198	385	1553
199	386	1547
200	387	1541
201	388	1534
202	389	1528
203	390	1522
204	390	1516
205	391	1510
206	393	1506
207	394	1503
208	395	1498
209	396	1492
210	397	1486
211	398	1481
212	399	1476
213	400	1470
214	401	1465
215	402	1459
216	403	1454
217	404	1450
218	405	1444
219	406	1439
220	408	1439
221	409	1435
222	410	1430
223	411	1426
224	412	1420
225	413	1416
226	414	1411
227	415	1406
228	416	1401
229	417	1397
230	418	1393
231	419	1388
232	420	1384
233	423	1384
234	424	1380
235	425	1376
236	426	1371
237	426	1366
238	427	1362
239	428	1357
240	429	1353
241	430	1348
242	431	1343
243	432	1339
244	433	1335
245	434	1330
246	436	1329
247	437	1327
248	438	1322
249	439	1318
250	440	1313
251	441	1309
